OrganizationName,Industries,HeadquartersLocation,Description,CBRank,PostalCode,EstimatedRevenueRange,OperatingStatus,FoundedDate,ExitDate,ClosedDate,Company Type,Website,NumberOfFounders,NumberOfEmployees,NumberOfFundingRounds,TotalEquityFundingAmount,TotalFundingAmount,Top5Investors,FullDescription,LastFundingAmount,LastFundingDate,NumberOfInvestors,FundingStatus,LastFundingType,
1000Kelvin Logo 1000Kelvin,"3D Printing , Artificial Intelligence (AI) , Software","Berlin , Berlin , Germany",1000Kelvin solves additive manufacturing problems with artificial intelligence solutions.,"250,557",10625,—,Active,2021,—,—,For Profit,1000kelvin.com/,2,1-10,2,—,—,—,"1000Kelvin provides an artificial intelligence solution to predict near real-time print issues, perform corrections, and generate an industrial-grade, ready-to-use print file specific to the customer's machine. Their artificial intelligence software enables the 3D printing of complex parts without defects, ready to be qualified and cost-effective.",—,"May 1, 2022",—,Seed,Grant,
12K Research Logo 12K Research,"Artificial Intelligence (AI) , Data Mining , Enterprise Software , Innovation Management , Software","Berlin , Berlin , Germany",A tech-driven research company. We combine smart algorithms with a deep understanding of the tech landscape to help companies stay ahead.,"1,171,899",10179,Less than $1M,Active,Oct 2015,"Jul 4, 2019",—,For Profit,12k.co/,—,1-10,1,—,—,Project Flying Elephant,12K Research is a software company operating at the intersection of artificial intelligence and data science.,—,"Oct 2, 2015",1,M&A,Convertible Note,
149 Technologies Logo 149 Technologies,"Android , Artificial Intelligence (AI) , Machine Learning , Mobile , Natural Language Processing , Productivity Tools","Düsseldorf , Nordrhein-Westfalen , Germany","149 Technology builds a next-generation calendar platform, connecting events to helpful and relevant information, services, places or apps.","2,384,126",40221,Less than $1M,Active,2013,—,—,For Profit,www.149tech.com,1,1-10,—,—,—,—,"149 Technology builds an all-new, smarter calendar platform. Our proprietary context engine combined with machine learning technology makes your calendar a bit more helpful every day - allowing to accomplish tasks faster and to easily access information relevant to your events, all in a single place.Once an event is synchronized or added to 149 Live Calendar, natural language processing is applied to determine and connect related actions - such as direct call, maps and navigation, Web or Facebook deep links, and more. Taking this concept further, context data - such as the weather at time and location of an event - is used to identify what kind of additional information or services could be helpful before or during this specific event. Nine dimensions of context are leveraged to make sure relevant content or apps are always just one click away .Our unique contextual information framework is powered by a continuously growing partner network of global, national, and regional Value Providers -  reach out to us to learn how to be included!149 Live Calendar is now available for Android, with more client platforms - including conversational UIs - to be announced soon.",—,—,—,—,—,
1SDK Logo 1SDK,"Analytics , Mobile , Mobile Advertising , Predictive Analytics , SaaS","Berlin , Berlin , Germany",1SDK Inc. is a SaaS-based platform for Mobile Attribution Analytics & User Engagement,"973,491",—,—,Closed,"Jan 25, 2013","Jun 29, 2016","Jun 29, 2016",For Profit,www.1sdk.com,1,1-10,3,"$156,000","$156,000","Startupbootcamp , Startupbootcamp Smart Transportation & Energy Berlin","1SDK Inc. is a SaaS-based platform that provides Advanced Mobile Attribution Analytics & User Engagement capabilities to Mobile App developers.The company was founded in 2013 and is based in Berlin, Germany.",—,"Oct 6, 2014",2,M&A,Venture - Series Unknown,
20IT Logo 20IT,"Artificial Intelligence (AI) , Consulting , Marketing , UX Design","Hamburg , Hamburg , Germany","20IT is an IT firm that offers project management, marketing, UI/UX design, AI, and consulting services.","2,373,971",720095,—,Active,—,—,—,For Profit,20it.de/,—,101-250,—,—,—,—,—,—,—,—,—,—,
21strategies Logo 21strategies,"Artificial Intelligence (AI) , Finance , Government , Homeland Security , Machine Learning , National Security , SaaS","Munich , Bayern , Germany",21strategies leverages deep technology and Enterprise AI to transform how organizations make decisions under uncertainty.,"45,175",85399,—,Active,"Mar 9, 2020",—,—,For Profit,www.21strategies.com,3,11-50,3,"3,375,000.00 €","3,375,000.00 €","Newchip Accelerator , Neosfer","21strategies is a B2B deep tech research and operation company. We support organizations making smarter decisions under uncertainty. To aim a our mission, we build and operate Enterprise AI for real life situations.Because we want to grow profitably, we develop long-term strategic partnerships with organizations to leverage their own and their ecosystem's expertise with Enterprise AI.","1,875,000.00 €","Dec 13, 2022",2,—,Undisclosed,
22Dots Logo 22Dots,"Artificial Intelligence (AI) , Embedded Systems , Information Technology , Internet of Things","Cologne , Nordrhein-Westfalen , Germany",22Dots provide a safe and secure IoT infrastructure.,"1,396,746",50858,—,Closed,—,—,—,For Profit,22dots.de/,—,—,—,—,—,—,"They  integrate intelligence into business to add value. With over 10 years of experience in developing and integrating embedded communication systems, they are the first choice partner for companies that choose to enter the IoT market. their extensive know-how allows them to efficiently realise unexploited IoT potentials and accelerate market growth. In doing so, they accompany their clients from the initial idea, through to the finished solution.",—,—,—,—,—,
24metrics Logo 24metrics,"Artificial Intelligence (AI) , Big Data , Cyber Security , Internet , Marketing , SaaS , Software","Berlin , Berlin , Germany",A.I powered Cybersecurity with built in Prevention Features to stop Threats / Fraud before they happen.,"89,657",10479,—,Active,"Jun 1, 2013",—,—,For Profit,www.24metrics.com,1,11-50,1,"1,300,000.00 €","1,300,000.00 €",—,"A Cybersecurity / Fraud Prevention Saas solution that uses Big Data / A.I to prevent threats (Lead Fraud, Server Overloading, Identity Fraud)","1,300,000.00 €","Jun 1, 2019",—,Seed,Seed,
28Apps Logo 28Apps,"Artificial Intelligence (AI) , Software , Web Development","Bremen , Bremen , Germany","28Apps specializes in offering AI research, voice assistance, consulting, app, web, and software development solutions.","951,610",28195,Less than $1M,Active,2016,—,—,For Profit,28apps.de/,—,11-50,—,—,—,—,—,—,—,—,—,—,
2txt – natural language generation GmbH Logo 2txt – natural language generation GmbH,"Artificial Intelligence (AI) , Big Data , E-Commerce , Machine Learning , SaaS , Software","Berlin , Berlin , Germany","SaaS, Natural Language Generation, E-Commerce, Product descriptions, SEO, AI, Machine Learning","570,651",10437,—,Active,2013,—,—,For Profit,2txt.de/,1,11-50,1,—,—,—,"<<DATA TO TEXT>>Artificial Intelligence for automated product descriptions2txt automates the creation of informative, engaging e-commerce content. Our software transforms your data into high-quality, unique, actionable content – all in the blink of an eye. Maximize your reach and conversion rates with our innovative and intelligent content generator.",—,"Dec 31, 2016",—,Seed,Seed,
2x4 Holding Logo 2x4 Holding,"Market Research , Predictive Analytics , Software","Dettenheim , Bayern , Germany",2x4 Holding is a software company that provides market research products and services.,"2,064,646",84562,$10M to $50M,Active,2005,—,—,For Profit,www.2x4.de,—,11-50,—,—,—,—,—,—,—,—,—,—,
320East Logo 320East,"Artificial Intelligence (AI) , Information Technology , Internet of Things , SaaS , Software","Karlsruhe , Baden-Wurttemberg , Germany",320EAST is a German technology company based in Karlsruhe. We develop and operate our IoT platform as a SaaS solution with our own hardware.,"979,303",76227,—,Active,2018,—,—,For Profit,www.320east.de/,—,11-50,—,—,—,—,—,—,—,—,—,—,
35up Logo 35up,"Artificial Intelligence (AI) , E-Commerce , E-Commerce Platforms , Internet , Machine Learning , SaaS , Software","Berlin , Berlin , Germany",Bringing Embedded Cross-Selling into every online checkout.,"36,088",10999,$100M to $500M,Active,Feb 2020,—,—,For Profit,35up.com,4,11-50,2,"$8,300,000","$8,300,000","Capnamic Ventures , coparion , DvH Ventures","We help online merchants create additional cross-selling revenues, without any inventory risks or working capital investments. Powered by an intelligent recommendation engine and with millions of physical and digital products in our vendor network, our headless API seamlessly embeds the most relevant cross-selling products into the checkout. Some of Europe’s leading merchants work with 35up, generating additional contribution margin by enabling their customers to access new products and services that are highly relevant to them.","$5,000,000","Sep 29, 2022",3,Early Stage Venture,Series A,
36ZERO Vision Logo 36ZERO Vision,"Artificial Intelligence (AI) , Computer Vision , Industrial Automation , Machine Learning , Manufacturing","Munich , Bayern , Germany",36ZEROVision is an AI-powered visual inspection system(SaaS) to identify and solve a wide range of manufacturing quality issues.,"50,410",81671,—,Active,2019,—,—,For Profit,36zerovision.com/,2,11-50,2,"$3,000,000","$3,000,000","Alchemist Accelerator , Join Capital","36ZEROVision is an AI-powered visual inspection system developed to identify and solve a wide range of manufacturing quality issues. It offers fully automated error tracking and identification for optimized manufacturing agility and quality, factory throughput, and capital spending.","$3,000,000","Sep 13, 2021",2,Seed,Seed,
3back Logo 3back,"Artificial Intelligence (AI) , Information Technology , Software","Munich , Bayern , Germany",3back is an IT company that offers software solutions to assist companies with customer feedback management.,"1,645,072",80469,$1M to $10M,Active,2018,—,—,For Profit,www.3back.ai,—,11-50,—,—,—,—,—,—,—,—,—,—,
3dvisionlabs GmbH Logo 3dvisionlabs GmbH,"3D Technology , Artificial Intelligence (AI) , Information Technology , Machine Learning , Sensor","Chemnitz , Sachsen , Germany","3dvisionlabs is a Germany-based depth camera startup, emerging with a novel extreme-wide angle vision technology called HemiStereo.","543,491",9126,—,Active,Aug 2017,—,—,For Profit,3dvisionlabs.com/,1,1-10,1,—,—,TGFS - Technologiegründerfonds Sachsen,"3dvisionlabs introduces a revolutionary 3D sensing technology, which fundamentally expands the capabilities of machines to sense the physical world. Based in Chemnitz, Germany the tech startup designs and develops complex vision devices combining latest advances in AI and cutting-edge embedded computing. With their innovative products the company improves our everyday lives by empowering a new generation of spatially-aware assistants. For additional information, visit www.3dvisionlabs.com.",—,"Mar 1, 2019",1,Seed,Seed,
3e Capital Group Logo 3e Capital Group,"Artificial Intelligence (AI) , Cloud Computing , FinTech , Health Care , Home Health Care , Internet , Internet of Things , PaaS , Predictive Analytics , SaaS , Therapeutics","Düsseldorf , Nordrhein-Westfalen , Germany","3e Capital Group is an early stage venture capital group focusing on high growing, new technologies.","291,193",40474,—,Active,2006,—,—,For Profit,www.3ecapital.de,1,—,—,—,—,—,3E Capital is a multi-stage venture capital firm that backs the best and most ambitious entrepreneurs. These leaders are building truly transformative companies that are reshaping the world around them and how human mankind will live tomorrow.3E believes in a tight-knit collaborative partnership that retains a shared mission of putting entrepreneurs first and support extraordinary people. They’ve teamed up with exceptional entrepreneurs in Europe and around the world and have helped them grow boldly.,—,—,—,—,—,
3IVIS Logo 3IVIS,"Artificial Intelligence (AI) , Machine Learning , Natural Language Processing , Risk Management","Berlin , Berlin , Germany",Quantitative Solutions for Intelligence-driven Future,"629,058",10178,—,Active,"Oct 7, 2015",—,—,For Profit,3ivis.com,—,1-10,—,—,—,—,3IVIS offers solutions and consulting as well as educational events and platforms with focus on machine learning and quantitative modelling.,—,—,—,—,—,
42 Ads Logo 42 Ads,"Advertising , Artificial Intelligence (AI) , Information Services , Information Technology , Marketing , Marketing Automation , Software","Düsseldorf , Nordrhein-Westfalen , Germany",The AI driven Ad Tech Company,"806,279",40627,—,Active,2019,—,—,For Profit,www.42ads.io,3,11-50,1,—,—,ANJ Ventures,—,—,"Jan 1, 2021",1,Seed,Seed,
4BrainSolutions Logo 4BrainSolutions,"Application Performance Management , Artificial Intelligence (AI) , Software , Software Engineering","Frankfurt , Hessen , Germany","4BrainSolutions is a software engineering company that offers application development, process automation, and artificial intelligence.","1,050,796",60312,—,Active,2016,—,—,For Profit,www.4brainsolutions.com,—,11-50,—,—,—,—,—,—,—,—,—,—,
4Com Logo 4Com,"Artificial Intelligence (AI) , Customer Service , Machine Learning , Telecommunications","Hanover , Niedersachsen , Germany",4Com offers customer service solutions within the framework of artificial intelligence.,"1,322,693",—,—,Active,"Jan 1, 1994",—,—,For Profit,www.4com.de/,—,11-50,—,—,—,—,—,—,—,—,—,—,
4digital Logo 4digital,"Artificial Intelligence (AI) , CRM , Information Technology , Software","Bielefeld , Nordrhein-Westfalen , Germany","4digital is an IT company that offers digital transformation, CRM, artificial intelligence, database management, and software solutions.","1,581,271",33602,$1M to $10M,Active,2019,—,—,For Profit,www.4digital.group/,—,51-100,—,—,—,—,—,—,—,—,—,—,
4voice Logo 4voice,"Intelligent Systems , Software , Speech Recognition","Haar , Bayern , Germany",4voice provides solution for intelligent speech technology applications.,"2,788,611",85540,$1M to $10M,Active,2002,—,—,For Profit,www.4voice.de,—,11-50,—,—,—,—,—,—,—,—,—,—,
5Analytics Logo 5Analytics,"Analytics , Artificial Intelligence (AI) , Business Intelligence , Consulting , Enterprise Software , Machine Learning , Predictive Analytics , Software","Stuttgart , Baden-Wurttemberg , Germany",5Analytics is an AI software company that helps companies integrate Artificial Intelligence into business processes.,"93,474",70197,$1M to $10M,Active,"Mar 24, 2016",—,—,For Profit,5analytics.com,3,11-50,2,"800,000.00 €","880,000.00 €","Wayra , High-Tech Grunderfonds , MBG Baden Wuerttemberg","5Analytics is an AI software company that helps companies integrate Artificial Intelligence into business processes. Making sure that AI Code (R or Python) can be used with enterprise requirements (scalability, realtime, interfaces, robustness etc.) so that Data Scientists can be more efficient. They are more than a technology provider. Their consulting team accompanies the complete implementation process and supports their customers to get the most out of their data. 5Analytics, headquartered in Stuttgart and Düsseldorf, works with numerous renowned customers (e.g.Telefónica, Merck und VW) and was recently awarded a Gründerpreis Baden-Württemberg and is nominated for the Gründerpreis Deutschland","800,000.00 €","Oct 11, 2017",3,Seed,Seed,
